date,cat_id,sales,snap_CA
2011-03-02,HOUSEHOLD,397,1
2011-03-03,FOODS,1984,1
2011-03-03,HOBBIES,168,1
2011-03-03,HOUSEHOLD,416,1
2011-03-04,FOODS,2369,1
2011-03-04,HOBBIES,193,1
2011-03-04,HOUSEHOLD,416,1
2011-03-05,FOODS,3223,1
2011-03-05,HOBBIES,300,1
2011-03-05,HOUSEHOLD,573,1
2011-03-06,FOODS,3464,1
2011-03-06,HOBBIES,761,1
2011-03-06,HOUSEHOLD,607,1
2011-03-07,FOODS,2262,1
2011-03-07,HOBBIES,470,1
2011-03-07,HOUSEHOLD,406,1
2011-03-08,FOODS,2165,1
2011-03-08,HOBBIES,465,1
2011-03-08,HOUSEHOLD,367,1
2011-03-09,FOODS,2100,1
2011-03-09,HOBBIES,357,1
2011-03-09,HOUSEHOLD,315,1
2011-03-10,FOODS,2003,1
2011-03-10,HOBBIES,329,1
2011-03-10,HOUSEHOLD,318,1
2011-03-11,FOODS,2480,0
2011-03-11,HOBBIES,335,0
2011-03-11,HOUSEHOLD,434,0
2011-03-12,FOODS,2895,0
2011-03-12,HOBBIES,655,0
2011-03-12,HOUSEHOLD,564,0
2011-03-13,FOODS,3081,0
2011-03-13,HOBBIES,411,0
2011-03-13,HOUSEHOLD,602,0
2011-03-14,FOODS,2079,0
2011-03-14,HOBBIES,356,0
2011-03-14,HOUSEHOLD,445,0
2011-03-15,FOODS,1656,0
2011-03-15,HOBBIES,344,0
2011-03-15,HOUSEHOLD,384,0
2011-03-16,FOODS,1805,0
2011-03-16,HOBBIES,374,0
2011-03-16,HOUSEHOLD,343,0
2011-03-17,FOODS,1657,0
2011-03-17,HOBBIES,391,0
2011-03-17,HOUSEHOLD,387,0
2011-03-18,FOODS,2005,0
2011-03-18,HOBBIES,303,0
2011-03-18,HOUSEHOLD,436,0
2011-03-19,FOODS,2826,0
2011-03-19,HOBBIES,669,0
2011-03-19,HOUSEHOLD,647,0
2011-03-20,FOODS,2795,0
2011-03-20,HOBBIES,492,0
2011-03-20,HOUSEHOLD,617,0
2011-03-21,FOODS,1935,0
2011-03-21,HOBBIES,354,0
2011-03-21,HOUSEHOLD,346,0
2011-03-22,FOODS,1595,0
2011-03-22,HOBBIES,518,0
2011-03-22,HOUSEHOLD,345,0
2011-03-23,FOODS,1473,0
2011-03-23,HOBBIES,298,0
2011-03-23,HOUSEHOLD,308,0
2011-03-24,FOODS,1431,0
2011-03-24,HOBBIES,528,0
2011-03-24,HOUSEHOLD,322,0
2011-03-25,FOODS,1869,0
2011-03-25,HOBBIES,440,0
2011-03-25,HOUSEHOLD,431,0
2011-03-26,FOODS,2648,0
2011-03-26,HOBBIES,627,0
2011-03-26,HOUSEHOLD,624,0
2011-03-27,FOODS,2801,0
2011-03-27,HOBBIES,533,0
2011-03-27,HOUSEHOLD,665,0
2011-03-28,FOODS,1903,0
2011-03-28,HOBBIES,533,0
2011-03-28,HOUSEHOLD,344,0
2011-03-29,FOODS,1471,0
2011-03-29,HOBBIES,333,0
2011-03-29,HOUSEHOLD,363,0
2011-03-30,FOODS,1612,0
2011-03-30,HOBBIES,341,0
2011-03-30,HOUSEHOLD,294,0
2011-03-31,FOODS,1849,0
2011-03-31,HOBBIES,377,0
2011-03-31,HOUSEHOLD,350,0
2011-04-01,FOODS,2528,1
2011-04-01,HOBBIES,462,1
2011-04-01,HOUSEHOLD,510,1
2011-04-02,FOODS,3013,1
2011-04-02,HOBBIES,565,1
2011-04-02,HOUSEHOLD,747,1
2011-04-03,FOODS,3136,1
2011-04-03,HOBBIES,604,1
2011-04-03,HOUSEHOLD,656,1
2011-04-04,FOODS,2615,1
2011-04-04,HOBBIES,490,1
2011-04-04,HOUSEHOLD,537,1
2011-04-05,FOODS,2047,1
2011-04-05,HOBBIES,393,1
2011-04-05,HOUSEHOLD,344,1
2011-04-06,FOODS,1897,1
2011-04-06,HOBBIES,354,1
2011-04-06,HOUSEHOLD,351,1
2011-04-07,FOODS,2150,1
2011-04-07,HOBBIES,439,1
2011-04-07,HOUSEHOLD,387,1
2011-04-08,FOODS,2342,1
2011-04-08,HOBBIES,504,1
2011-04-08,HOUSEHOLD,448,1
2011-04-09,FOODS,2825,1
2011-04-09,HOBBIES,603,1
2011-04-09,HOUSEHOLD,655,1
2011-04-10,FOODS,2978,1
2011-04-10,HOBBIES,569,1
2011-04-10,HOUSEHOLD,647,1
2011-04-11,FOODS,2007,0
2011-04-11,HOBBIES,552,0
2011-04-11,HOUSEHOLD,456,0
2011-04-12,FOODS,1653,0
2011-04-12,HOBBIES,452,0
2011-04-12,HOUSEHOLD,407,0
2011-04-13,FOODS,1550,0
2011-04-13,HOBBIES,299,0
2011-04-13,HOUSEHOLD,368,0
2011-04-14,FOODS,1631,0
2011-04-14,HOBBIES,514,0
2011-04-14,HOUSEHOLD,375,0
2011-04-15,FOODS,2141,0
2011-04-15,HOBBIES,277,0
2011-04-15,HOUSEHOLD,449,0
2011-04-16,FOODS,2465,0
2011-04-16,HOBBIES,524,0
2011-04-16,HOUSEHOLD,582,0
2011-04-17,FOODS,2980,0
2011-04-17,HOBBIES,460,0
2011-04-17,HOUSEHOLD,644,0
2011-04-18,FOODS,1833,0
2011-04-18,HOBBIES,417,0
2011-04-18,HOUSEHOLD,510,0
2011-04-19,FOODS,1628,0
2011-04-19,HOBBIES,208,0
2011-04-19,HOUSEHOLD,398,0
2011-04-20,FOODS,1520,0
2011-04-20,HOBBIES,345,0
2011-04-20,HOUSEHOLD,396,0
2011-04-21,FOODS,1759,0
2011-04-21,HOBBIES,323,0
2011-04-21,HOUSEHOLD,405,0
2011-04-22,FOODS,2274,0
2011-04-22,HOBBIES,339,0
2011-04-22,HOUSEHOLD,542,0
2011-04-23,FOODS,2909,0
2011-04-23,HOBBIES,628,0
2011-04-23,HOUSEHOLD,650,0
2011-04-24,FOODS,2051,0
2011-04-24,HOBBIES,366,0
2011-04-24,HOUSEHOLD,529,0
2011-04-25,FOODS,1518,0
2011-04-25,HOBBIES,514,0
2011-04-25,HOUSEHOLD,407,0
2011-04-26,FOODS,1411,0
2011-04-26,HOBBIES,332,0
2011-04-26,HOUSEHOLD,342,0
2011-04-27,FOODS,1294,0
2011-04-27,HOBBIES,436,0
2011-04-27,HOUSEHOLD,366,0
2011-04-28,FOODS,1374,0
2011-04-28,HOBBIES,355,0
2011-04-28,HOUSEHOLD,357,0
2011-04-29,FOODS,1808,0
2011-04-29,HOBBIES,355,0
2011-04-29,HOUSEHOLD,512,0
2011-04-30,FOODS,2278,0
2011-04-30,HOBBIES,601,0
2011-04-30,HOUSEHOLD,681,0
2011-05-01,FOODS,2550,1
2011-05-01,HOBBIES,537,1
2011-05-01,HOUSEHOLD,581,1
2011-05-02,FOODS,1962,1
2011-05-02,HOBBIES,441,1
2011-05-02,HOUSEHOLD,508,1
2011-05-03,FOODS,2044,1
2011-05-03,HOBBIES,356,1
2011-05-03,HOUSEHOLD,439,1
2011-05-04,FOODS,1924,1
2011-05-04,HOBBIES,341,1
2011-05-04,HOUSEHOLD,345,1
2011-05-05,FOODS,1648,1
2011-05-05,HOBBIES,397,1
2011-05-05,HOUSEHOLD,339,1
2011-05-06,FOODS,2322,1
2011-05-06,HOBBIES,377,1
2011-05-06,HOUSEHOLD,426,1
2011-05-07,FOODS,2605,1
2011-05-07,HOBBIES,612,1
2011-05-07,HOUSEHOLD,599,1
2011-05-08,FOODS,2096,1
2011-05-08,HOBBIES,426,1
2011-05-08,HOUSEHOLD,511,1
2011-05-09,FOODS,2199,1
2011-05-09,HOBBIES,400,1
2011-05-09,HOUSEHOLD,470,1
2011-05-10,FOODS,2044,1
2011-05-10,HOBBIES,580,1
2011-05-10,HOUSEHOLD,361,1
2011-05-11,FOODS,1797,0
2011-05-11,HOBBIES,455,0
2011-05-11,HOUSEHOLD,377,0
2011-05-12,FOODS,1630,0
2011-05-12,HOBBIES,287,0
2011-05-12,HOUSEHOLD,360,0
2011-05-13,FOODS,2078,0
2011-05-13,HOBBIES,422,0
2011-05-13,HOUSEHOLD,508,0
2011-05-14,FOODS,2608,0
2011-05-14,HOBBIES,529,0
2011-05-14,HOUSEHOLD,617,0
2011-05-15,FOODS,2704,0
2011-05-15,HOBBIES,452,0
2011-05-15,HOUSEHOLD,666,0
2011-05-16,FOODS,1651,0
2011-05-16,HOBBIES,517,0
2011-05-16,HOUSEHOLD,414,0
2011-05-17,FOODS,1550,0
2011-05-17,HOBBIES,260,0
2011-05-17,HOUSEHOLD,334,0
2011-05-18,FOODS,1535,0
2011-05-18,HOBBIES,317,0
2011-05-18,HOUSEHOLD,322,0
2011-05-19,FOODS,1516,0
2011-05-19,HOBBIES,306,0
2011-05-19,HOUSEHOLD,346,0
2011-05-20,FOODS,1847,0
2011-05-20,HOBBIES,370,0
2011-05-20,HOUSEHOLD,447,0
2011-05-21,FOODS,2332,0
2011-05-21,HOBBIES,571,0
2011-05-21,HOUSEHOLD,560,0
2011-05-22,FOODS,2525,0
2011-05-22,HOBBIES,465,0
2011-05-22,HOUSEHOLD,607,0
2011-05-23,FOODS,1648,0
2011-05-23,HOBBIES,442,0
2011-05-23,HOUSEHOLD,371,0
2011-05-24,FOODS,1556,0
2011-05-24,HOBBIES,284,0
2011-05-24,HOUSEHOLD,320,0
2011-05-25,FOODS,1512,0
2011-05-25,HOBBIES,419,0
2011-05-25,HOUSEHOLD,320,0
2011-05-26,FOODS,1487,0
2011-05-26,HOBBIES,437,0
2011-05-26,HOUSEHOLD,372,0
2011-05-27,FOODS,1786,0
2011-05-27,HOBBIES,412,0
2011-05-27,HOUSEHOLD,444,0
2011-05-28,FOODS,2140,0
2011-05-28,HOBBIES,565,0
2011-05-28,HOUSEHOLD,509,0
2011-05-29,FOODS,2270,0
2011-05-29,HOBBIES,381,0
2011-05-29,HOUSEHOLD,551,0
2011-05-30,FOODS,2013,0
2011-05-30,HOBBIES,339,0
2011-05-30,HOUSEHOLD,532,0
2011-05-31,FOODS,1505,0
2011-05-31,HOBBIES,260,0
2011-05-31,HOUSEHOLD,391,0
2011-06-01,FOODS,1701,1
2011-06-01,HOBBIES,375,1
2011-06-01,HOUSEHOLD,453,1
2011-06-02,FOODS,1748,1
2011-06-02,HOBBIES,444,1
2011-06-02,HOUSEHOLD,460,1
2011-06-03,FOODS,2265,1
2011-06-03,HOBBIES,417,1
2011-06-03,HOUSEHOLD,518,1
2011-06-04,FOODS,2842,1
2011-06-04,HOBBIES,405,1
2011-06-04,HOUSEHOLD,695,1
2011-06-05,FOODS,2832,1
2011-06-05,HOBBIES,373,1
2011-06-05,HOUSEHOLD,666,1
2011-06-06,FOODS,2187,1
2011-06-06,HOBBIES,385,1
2011-06-06,HOUSEHOLD,484,1
2011-06-07,FOODS,1963,1
2011-06-07,HOBBIES,369,1
2011-06-07,HOUSEHOLD,431,1
2011-06-08,FOODS,1809,1
2011-06-08,HOBBIES,651,1
2011-06-08,HOUSEHOLD,424,1
2011-06-09,FOODS,2039,1
2011-06-09,HOBBIES,368,1
2011-06-09,HOUSEHOLD,380,1
2011-06-10,FOODS,2447,1
2011-06-10,HOBBIES,501,1
2011-06-10,HOUSEHOLD,472,1
2011-06-11,FOODS,2435,0
2011-06-11,HOBBIES,593,0
2011-06-11,HOUSEHOLD,560,0
2011-06-12,FOODS,2586,0
2011-06-12,HOBBIES,384,0
2011-06-12,HOUSEHOLD,599,0
2011-06-13,FOODS,2215,0
2011-06-13,HOBBIES,477,0
2011-06-13,HOUSEHOLD,457,0
2011-06-14,FOODS,2035,0
2011-06-14,HOBBIES,465,0
2011-06-14,HOUSEHOLD,394,0
2011-06-15,FOODS,1973,0
2011-06-15,HOBBIES,293,0
2011-06-15,HOUSEHOLD,413,0
2011-06-16,FOODS,1743,0
2011-06-16,HOBBIES,376,0
2011-06-16,HOUSEHOLD,416,0
2011-06-17,FOODS,1996,0
2011-06-17,HOBBIES,505,0
2011-06-17,HOUSEHOLD,470,0
2011-06-18,FOODS,2539,0
2011-06-18,HOBBIES,731,0
2011-06-18,HOUSEHOLD,626,0
2011-06-19,FOODS,2200,0
2011-06-19,HOBBIES,397,0
2011-06-19,HOUSEHOLD,512,0
2011-06-20,FOODS,2062,0
2011-06-20,HOBBIES,330,0
2011-06-20,HOUSEHOLD,456,0
2011-06-21,FOODS,2144,0
2011-06-21,HOBBIES,366,0
2011-06-21,HOUSEHOLD,426,0
2011-06-22,FOODS,1735,0
2011-06-22,HOBBIES,395,0
2011-06-22,HOUSEHOLD,427,0
2011-06-23,FOODS,1806,0
2011-06-23,HOBBIES,362,0
2011-06-23,HOUSEHOLD,456,0
2011-06-24,FOODS,2092,0
2011-06-24,HOBBIES,460,0
2011-06-24,HOUSEHOLD,519,0
2011-06-25,FOODS,2299,0
2011-06-25,HOBBIES,514,0
2011-06-25,HOUSEHOLD,541,0
2011-06-26,FOODS,2491,0
2011-06-26,HOBBIES,445,0
2011-06-26,HOUSEHOLD,736,0
2011-06-27,FOODS,1927,0
2011-06-27,HOBBIES,533,0
2011-06-27,HOUSEHOLD,452,0
2011-06-28,FOODS,1473,0
2011-06-28,HOBBIES,335,0
2011-06-28,HOUSEHOLD,392,0
2011-06-29,FOODS,1497,0
2011-06-29,HOBBIES,298,0
2011-06-29,HOUSEHOLD,371,0
2011-06-30,FOODS,1752,0
2011-06-30,HOBBIES,361,0
2011-06-30,HOUSEHOLD,429,0
2011-07-01,FOODS,2663,1
2011-07-01,HOBBIES,427,1
2011-07-01,HOUSEHOLD,591,1
2011-07-02,FOODS,3108,1
2011-07-02,HOBBIES,555,1
2011-07-02,HOUSEHOLD,613,1
2011-07-03,FOODS,2942,1
2011-07-03,HOBBIES,370,1
2011-07-03,HOUSEHOLD,573,1
2011-07-04,FOODS,2038,1
2011-07-04,HOBBIES,260,1
2011-07-04,HOUSEHOLD,374,1
2011-07-05,FOODS,2364,1
2011-07-05,HOBBIES,355,1
2011-07-05,HOUSEHOLD,458,1
2011-07-06,FOODS,2441,1
2011-07-06,HOBBIES,615,1
2011-07-06,HOUSEHOLD,486,1
2011-07-07,FOODS,2403,1
2011-07-07,HOBBIES,486,1
2011-07-07,HOUSEHOLD,473,1
2011-07-08,FOODS,2385,1
2011-07-08,HOBBIES,339,1
2011-07-08,HOUSEHOLD,528,1
2011-07-09,FOODS,2762,1
2011-07-09,HOBBIES,500,1
2011-07-09,HOUSEHOLD,661,1
2011-07-10,FOODS,3066,1
2011-07-10,HOBBIES,429,1
2011-07-10,HOUSEHOLD,791,1
2011-07-11,FOODS,2026,0
2011-07-11,HOBBIES,282,0
2011-07-11,HOUSEHOLD,477,0
2011-07-12,FOODS,1602,0
2011-07-12,HOBBIES,379,0
2011-07-12,HOUSEHOLD,399,0
2011-07-13,FOODS,1768,0
2011-07-13,HOBBIES,365,0
2011-07-13,HOUSEHOLD,368,0
2011-07-14,FOODS,1639,0
2011-07-14,HOBBIES,391,0
2011-07-14,HOUSEHOLD,437,0
2011-07-15,FOODS,1973,0
2011-07-15,HOBBIES,418,0
2011-07-15,HOUSEHOLD,531,0
2011-07-16,FOODS,2541,0
2011-07-16,HOBBIES,539,0
2011-07-16,HOUSEHOLD,608,0
2011-07-17,FOODS,2445,0
2011-07-17,HOBBIES,444,0
2011-07-17,HOUSEHOLD,698,0
2011-07-18,FOODS,2015,0
2011-07-18,HOBBIES,411,0
2011-07-18,HOUSEHOLD,510,0
2011-07-19,FOODS,1665,0
2011-07-19,HOBBIES,324,0
2011-07-19,HOUSEHOLD,384,0
2011-07-20,FOODS,1727,0
2011-07-20,HOBBIES,337,0
2011-07-20,HOUSEHOLD,447,0
2011-07-21,FOODS,1818,0
2011-07-21,HOBBIES,289,0
2011-07-21,HOUSEHOLD,478,0
2011-07-22,FOODS,2199,0
2011-07-22,HOBBIES,408,0
2011-07-22,HOUSEHOLD,462,0
2011-07-23,FOODS,2526,0
2011-07-23,HOBBIES,706,0
2011-07-23,HOUSEHOLD,619,0
2011-07-24,FOODS,2526,0
2011-07-24,HOBBIES,586,0
2011-07-24,HOUSEHOLD,661,0
2011-07-25,FOODS,1867,0
2011-07-25,HOBBIES,447,0
2011-07-25,HOUSEHOLD,448,0
2011-07-26,FOODS,1641,0
2011-07-26,HOBBIES,280,0
2011-07-26,HOUSEHOLD,401,0
2011-07-27,FOODS,1543,0
2011-07-27,HOBBIES,391,0
2011-07-27,HOUSEHOLD,403,0
2011-07-28,FOODS,1665,0
2011-07-28,HOBBIES,437,0
2011-07-28,HOUSEHOLD,416,0
2011-07-29,FOODS,2156,0
2011-07-29,HOBBIES,288,0
2011-07-29,HOUSEHOLD,471,0
2011-07-30,FOODS,2002,0
2011-07-30,HOBBIES,373,0
2011-07-30,HOUSEHOLD,555,0
2011-07-31,FOODS,2353,0
2011-07-31,HOBBIES,494,0
2011-07-31,HOUSEHOLD,646,0
2011-08-01,FOODS,1963,1
2011-08-01,HOBBIES,363,1
2011-08-01,HOUSEHOLD,534,1
2011-08-02,FOODS,2070,1
2011-08-02,HOBBIES,470,1
2011-08-02,HOUSEHOLD,478,1
2011-08-03,FOODS,1991,1
2011-08-03,HOBBIES,440,1
2011-08-03,HOUSEHOLD,488,1
2011-08-04,FOODS,2162,1
2011-08-04,HOBBIES,385,1
2011-08-04,HOUSEHOLD,456,1
2011-08-05,FOODS,2370,1
2011-08-05,HOBBIES,551,1
2011-08-05,HOUSEHOLD,529,1
2011-08-06,FOODS,2580,1
2011-08-06,HOBBIES,622,1
2011-08-06,HOUSEHOLD,616,1
2011-08-07,FOODS,2800,1
2011-08-07,HOBBIES,464,1
2011-08-07,HOUSEHOLD,666,1
2011-08-08,FOODS,2394,1
2011-08-08,HOBBIES,335,1
2011-08-08,HOUSEHOLD,517,1
2011-08-09,FOODS,2006,1
2011-08-09,HOBBIES,409,1
2011-08-09,HOUSEHOLD,447,1
2011-08-10,FOODS,1994,1
2011-08-10,HOBBIES,291,1
2011-08-10,HOUSEHOLD,414,1
2011-08-11,FOODS,1861,0
2011-08-11,HOBBIES,403,0
2011-08-11,HOUSEHOLD,464,0
2011-08-12,FOODS,2288,0
2011-08-12,HOBBIES,455,0
2011-08-12,HOUSEHOLD,549,0
2011-08-13,FOODS,2742,0
2011-08-13,HOBBIES,582,0
2011-08-13,HOUSEHOLD,753,0
2011-08-14,FOODS,2957,0
2011-08-14,HOBBIES,494,0
2011-08-14,HOUSEHOLD,751,0
2011-08-15,FOODS,1938,0
2011-08-15,HOBBIES,384,0
2011-08-15,HOUSEHOLD,557,0
2011-08-16,FOODS,1884,0
2011-08-16,HOBBIES,335,0
2011-08-16,HOUSEHOLD,499,0
2011-08-17,FOODS,1833,0
2011-08-17,HOBBIES,318,0
2011-08-17,HOUSEHOLD,426,0
2011-08-18,FOODS,1851,0
2011-08-18,HOBBIES,311,0
2011-08-18,HOUSEHOLD,412,0
2011-08-19,FOODS,2079,0
2011-08-19,HOBBIES,469,0
2011-08-19,HOUSEHOLD,532,0
2011-08-20,FOODS,2440,0
2011-08-20,HOBBIES,584,0
2011-08-20,HOUSEHOLD,678,0
2011-08-21,FOODS,3177,0
2011-08-21,HOBBIES,444,0
2011-08-21,HOUSEHOLD,841,0
2011-08-22,FOODS,1867,0
2011-08-22,HOBBIES,378,0
2011-08-22,HOUSEHOLD,477,0
2011-08-23,FOODS,1537,0
2011-08-23,HOBBIES,294,0
2011-08-23,HOUSEHOLD,386,0
2011-08-24,FOODS,1662,0
2011-08-24,HOBBIES,381,0
2011-08-24,HOUSEHOLD,397,0
2011-08-25,FOODS,1700,0
2011-08-25,HOBBIES,382,0
2011-08-25,HOUSEHOLD,401,0
2011-08-26,FOODS,1921,0
2011-08-26,HOBBIES,471,0
2011-08-26,HOUSEHOLD,481,0
2011-08-27,FOODS,2582,0
2011-08-27,HOBBIES,529,0
2011-08-27,HOUSEHOLD,658,0
2011-08-28,FOODS,2670,0
2011-08-28,HOBBIES,342,0
2011-08-28,HOUSEHOLD,689,0
2011-08-29,FOODS,1708,0
2011-08-29,HOBBIES,298,0
2011-08-29,HOUSEHOLD,401,0
2011-08-30,FOODS,1375,0
2011-08-30,HOBBIES,373,0
2011-08-30,HOUSEHOLD,366,0
2011-08-31,FOODS,1470,0
2011-08-31,HOBBIES,392,0
2011-08-31,HOUSEHOLD,429,0
2011-09-01,FOODS,1846,1
2011-09-01,HOBBIES,368,1
2011-09-01,HOUSEHOLD,454,1
2011-09-02,FOODS,2362,1
2011-09-02,HOBBIES,503,1
2011-09-02,HOUSEHOLD,547,1
2011-09-03,FOODS,2717,1
2011-09-03,HOBBIES,758,1
2011-09-03,HOUSEHOLD,652,1
2011-09-04,FOODS,2568,1
2011-09-04,HOBBIES,372,1
2011-09-04,HOUSEHOLD,602,1
2011-09-05,FOODS,2469,1
2011-09-05,HOBBIES,408,1
2011-09-05,HOUSEHOLD,608,1
2011-09-06,FOODS,2115,1
2011-09-06,HOBBIES,553,1
2011-09-06,HOUSEHOLD,462,1
2011-09-07,FOODS,1900,1
2011-09-07,HOBBIES,381,1
2011-09-07,HOUSEHOLD,393,1
2011-09-08,FOODS,1979,1
2011-09-08,HOBBIES,398,1
2011-09-08,HOUSEHOLD,449,1
2011-09-09,FOODS,2297,1
2011-09-09,HOBBIES,406,1
2011-09-09,HOUSEHOLD,535,1
2011-09-10,FOODS,2718,1
2011-09-10,HOBBIES,492,1
2011-09-10,HOUSEHOLD,663,1
2011-09-11,FOODS,2876,0
2011-09-11,HOBBIES,442,0
2011-09-11,HOUSEHOLD,728,0
2011-09-12,FOODS,1933,0
2011-09-12,HOBBIES,422,0
2011-09-12,HOUSEHOLD,480,0
2011-09-13,FOODS,1575,0
2011-09-13,HOBBIES,334,0
2011-09-13,HOUSEHOLD,474,0
2011-09-14,FOODS,1482,0
2011-09-14,HOBBIES,369,0
2011-09-14,HOUSEHOLD,335,0
2011-09-15,FOODS,1628,0
2011-09-15,HOBBIES,336,0
2011-09-15,HOUSEHOLD,424,0
2011-09-16,FOODS,1975,0
2011-09-16,HOBBIES,329,0
2011-09-16,HOUSEHOLD,509,0
2011-09-17,FOODS,2454,0
2011-09-17,HOBBIES,412,0
2011-09-17,HOUSEHOLD,649,0
2011-09-18,FOODS,2670,0
2011-09-18,HOBBIES,372,0
2011-09-18,HOUSEHOLD,628,0
2011-09-19,FOODS,1789,0
2011-09-19,HOBBIES,340,0
2011-09-19,HOUSEHOLD,477,0
2011-09-20,FOODS,1740,0
2011-09-20,HOBBIES,346,0
2011-09-20,HOUSEHOLD,472,0
2011-09-21,FOODS,1646,0
2011-09-21,HOBBIES,424,0
2011-09-21,HOUSEHOLD,383,0
2011-09-22,FOODS,1606,0
2011-09-22,HOBBIES,386,0
2011-09-22,HOUSEHOLD,374,0
2011-09-23,FOODS,2451,0
2011-09-23,HOBBIES,473,0
2011-09-23,HOUSEHOLD,551,0
2011-09-24,FOODS,2872,0
2011-09-24,HOBBIES,459,0
2011-09-24,HOUSEHOLD,728,0
2011-09-25,FOODS,2872,0
2011-09-25,HOBBIES,485,0
2011-09-25,HOUSEHOLD,729,0
2011-09-26,FOODS,2028,0
2011-09-26,HOBBIES,336,0
2011-09-26,HOUSEHOLD,482,0
2011-09-27,FOODS,1722,0
2011-09-27,HOBBIES,345,0
2011-09-27,HOUSEHOLD,371,0
2011-09-28,FOODS,1696,0
2011-09-28,HOBBIES,486,0
2011-09-28,HOUSEHOLD,399,0
2011-09-29,FOODS,1587,0
2011-09-29,HOBBIES,449,0
2011-09-29,HOUSEHOLD,401,0
2011-09-30,FOODS,2512,0
2011-09-30,HOBBIES,540,0
2011-09-30,HOUSEHOLD,571,0
2011-10-01,FOODS,3450,1
2011-10-01,HOBBIES,771,1
2011-10-01,HOUSEHOLD,816,1
2011-10-02,FOODS,3361,1
2011-10-02,HOBBIES,507,1
2011-10-02,HOUSEHOLD,817,1
2011-10-03,FOODS,2361,1
2011-10-03,HOBBIES,448,1
2011-10-03,HOUSEHOLD,489,1
2011-10-04,FOODS,2214,1
2011-10-04,HOBBIES,474,1
2011-10-04,HOUSEHOLD,512,1
2011-10-05,FOODS,2086,1
